product_category,customer_location,shipping_method,delivery_time
Beauty & Personal Care,Pune,Economy,4
Health & Household,Indore,Standard,8
Automotive,Indore,Express,4
Beauty & Personal Care,Pune,Standard,4
Sports & Outdoors,Nagpur,Priority,4
Books,Pune,Standard,2
Home Goods,Indore,Priority,3
Sports & Outdoors,Nagpur,Economy,7
Toys & Games,Chennai,Priority,1
Toys & Games,Mumbai,Standard,3
Tools & Home Improvement,Surat,Economy,10
Health & Household,Indore,Priority,4
Clothing,Bangalore,Economy,5
Beauty & Personal Care,Bangalore,Priority,2
Tools & Home Improvement,Kolkata,Express,4
Electronics,Kolkata,Express,3
Clothing,Bangalore,Standard,6
Books,Pune,Priority,1
Health & Household,Ahmedabad,Economy,6
Electronics,Pune,Priority,1
Toys & Games,Hyderabad,Standard,4
Automotive,Hyderabad,Priority,3
Beauty & Personal Care,Ahmedabad,Express,4
Electronics,Kolkata,Express,2
Tools & Home Improvement,Ahmedabad,Economy,7
Books,Kanpur,Express,7
Health & Household,Indore,Economy,9
Books,Bhopal,Express,7
Tools & Home Improvement,Surat,Priority,5
Beauty & Personal Care,Chennai,Priority,1
Tools & Home Improvement,Surat,Economy,7
Clothing,Indore,Priority,4
Health & Household,Bangalore,Priority,2
Books,Ahmedabad,Economy,7
Sports & Outdoors,Surat,Express,4
Electronics,Lucknow,Express,4
Beauty & Personal Care,Hyderabad,Economy,4
Health & Household,Indore,Priority,3
Toys & Games,Surat,Express,3
Automotive,Kanpur,Express,5
Sports & Outdoors,Nagpur,Standard,5
Electronics,Nagpur,Express,5
Clothing,Ahmedabad,Express,2
Clothing,Chennai,Standard,5
Toys & Games,Chennai,Economy,6
Books,Pune,Express,4
Books,Nagpur,Standard,7
Electronics,Indore,Express,6
Electronics,Indore,Priority,5
Toys & Games,Lucknow,Priority,3
Home Goods,Bangalore,Priority,3
Health & Household,Bangalore,Express,4
Home Goods,Surat,Standard,5
Toys & Games,Surat,Standard,7
Tools & Home Improvement,Lucknow,Economy,10
Sports & Outdoors,Lucknow,Economy,9
Health & Household,Surat,Priority,4
Sports & Outdoors,Indore,Economy,10
Clothing,Jaipur,Standard,5
Books,Indore,Priority,3
Sports & Outdoors,Delhi,Priority,3
Electronics,Delhi,Standard,6
Tools & Home Improvement,Jaipur,Standard,6
Beauty & Personal Care,Hyderabad,Economy,4
Sports & Outdoors,Indore,Standard,5
Sports & Outdoors,Lucknow,Priority,5
Books,Bangalore,Priority,2
Electronics,Chennai,Express,3
Clothing,Surat,Economy,9
Health & Household,Bhopal,Express,5
Sports & Outdoors,Indore,Express,4
Electronics,Chennai,Economy,7
Clothing,Pune,Express,4
Home Goods,Surat,Express,5
Tools & Home Improvement,Kolkata,Priority,2
Tools & Home Improvement,Chennai,Economy,7
Electronics,Indore,Express,7
Books,Kolkata,Priority,2
Beauty & Personal Care,Kanpur,Express,6
Health & Household,Pune,Express,3
Automotive,Mumbai,Priority,3
Clothing,Ahmedabad,Standard,5
Books,Delhi,Express,2
Sports & Outdoors,Surat,Standard,6
Home Goods,Nagpur,Standard,8
Health & Household,Bhopal,Economy,8
Clothing,Pune,Economy,5
Home Goods,Hyderabad,Standard,5
Beauty & Personal Care,Kolkata,Standard,2
Sports & Outdoors,Chennai,Priority,1
Home Goods,Kanpur,Standard,6
Clothing,Kolkata,Standard,4
Home Goods,Mumbai,Economy,8
Electronics,Chennai,Standard,4
Health & Household,Chennai,Express,2
Sports & Outdoors,Chennai,Standard,3
Health & Household,Lucknow,Priority,5
Beauty & Personal Care,Chennai,Priority,3
Electronics,Mumbai,Standard,6
Beauty & Personal Care,Kolkata,Economy,7
Automotive,Ahmedabad,Economy,6
Automotive,Surat,Economy,7
Sports & Outdoors,Jaipur,Express,6
Toys & Games,Bhopal,Priority,3
Health & Household,Nagpur,Standard,6
Electronics,Chennai,Express,3
Tools & Home Improvement,Kanpur,Priority,7
Sports & Outdoors,Jaipur,Priority,2
Beauty & Personal Care,Bhopal,Economy,9
Tools & Home Improvement,Chennai,Standard,6
Clothing,Delhi,Economy,6
Clothing,Bangalore,Standard,6
Toys & Games,Lucknow,Standard,7
Health & Household,Surat,Standard,5
Clothing,Pune,Express,2
Home Goods,Kanpur,Standard,6
Tools & Home Improvement,Nagpur,Priority,4
Books,Indore,Standard,6
Sports & Outdoors,Mumbai,Standard,6
Books,Delhi,Express,3
Automotive,Hyderabad,Economy,7
Clothing,Jaipur,Standard,6
Sports & Outdoors,Pune,Express,2
Toys & Games,Mumbai,Economy,5
Beauty & Personal Care,Kanpur,Economy,10
Clothing,Ahmedabad,Priority,2
Automotive,Jaipur,Standard,6
Health & Household,Ahmedabad,Priority,1
Sports & Outdoors,Bhopal,Standard,7
Electronics,Kanpur,Standard,8
Clothing,Ahmedabad,Express,3
Books,Delhi,Standard,5
Automotive,Mumbai,Economy,5
Toys & Games,Kanpur,Express,6
Books,Mumbai,Standard,6
Home Goods,Kolkata,Express,3
Toys & Games,Pune,Priority,3
Sports & Outdoors,Ahmedabad,Economy,4
Health & Household,Bangalore,Standard,5
Automotive,Kanpur,Economy,8
Clothing,Kolkata,Economy,6
Tools & Home Improvement,Chennai,Priority,5
Home Goods,Delhi,Express,2
Beauty & Personal Care,Chennai,Priority,2
Books,Jaipur,Economy,7
Automotive,Pune,Priority,1
Beauty & Personal Care,Surat,Priority,4
Tools & Home Improvement,Bangalore,Economy,9
Automotive,Kanpur,Express,7
Health & Household,Pune,Standard,5
Clothing,Bangalore,Standard,5
Sports & Outdoors,Mumbai,Economy,8
Electronics,Kanpur,Express,7
Sports & Outdoors,Delhi,Priority,4
Beauty & Personal Care,Indore,Priority,4
